Arquivo,Tamanho (KB),Data Modificação
TG037_37501_68079_01042_037_20260124010646_91.13.BIN,29.02,24/01/2026 01:06
TG039_39100_67988_01211_039_20260124002201_91.13.BIN,37.49,24/01/2026 00:23
TG039_39506_68096_01868_039_20260124002355_91.13.BIN,28.22,24/01/2026 00:24
TG037_37511_67490_01039_037_20260124123718_91.13.BIN,49.57,24/01/2026 12:36
TG037_37521_67491_00837_037_20260124144503_91.13.BIN,48.05,24/01/2026 20:31
TG037_37521_67491_00838_037_20260124203155_91.13.BIN,24.85,24/01/2026 20:31
TG037_37525_67746_00933_037_20260124154312_91.13.BIN,37.96,24/01/2026 15:43
TG037_37526_66997_01652_037_20260124125934_91.13.BIN,49.68,24/01/2026 23:52
TG037_37526_66997_01653_037_20260124234458_91.13.BIN,53.46,24/01/2026 23:52
TG037_37527_67625_00968_037_20260124113807_91.13.BIN,36.57,24/01/2026 22:30
TG037_37527_67625_00969_037_20260124222940_91.13.BIN,53.53,24/01/2026 22:30
TG039_37529_66653_00865_039_20260124120728_91.13.BIN,38.10,24/01/2026 12:08
TG039_39004_66894_01402_039_20260124133306_91.13.BIN,34.65,24/01/2026 22:32
TG039_39004_66894_01403_039_20260124223226_91.13.BIN,38.03,24/01/2026 22:32
TG039_39007_67095_01258_039_20260124125015_91.13.BIN,28.11,24/01/2026 22:03
TG039_39007_67095_01259_039_20260124220311_91.13.BIN,33.73,24/01/2026 22:03
TG039_39008_67666_00809_039_20260124152831_91.13.BIN,45.19,24/01/2026 15:27
TG039_39024_67229_01263_039_20260124135601_91.13.BIN,43.52,24/01/2026 22:23
TG039_39024_67229_01264_039_20260124222251_91.13.BIN,22.64,24/01/2026 22:23
TG039_39094_67706_01437_039_20260124130745_91.13.BIN,29.62,24/01/2026 21:16
TG039_39094_67706_01438_039_20260124211612_91.13.BIN,26.00,24/01/2026 21:16
TG039_39097_67448_01480_039_20260124135216_91.13.BIN,62.39,25/01/2026 00:36
TG039_39100_67988_01212_039_20260124141313_91.13.BIN,33.82,24/01/2026 14:13
TG039_39104_66308_00978_039_20260124135416_91.13.BIN,32.95,24/01/2026 21:48
TG039_39104_66308_00979_039_20260124214920_91.13.BIN,25.72,24/01/2026 21:48
TG039_39134_66273_01187_039_20260124140359_91.13.BIN,47.12,24/01/2026 14:05
TG039_39137_67051_01422_039_20260124124439_91.13.BIN,30.88,24/01/2026 21:16
TG039_39137_67051_01423_039_20260124211542_91.13.BIN,30.61,24/01/2026 21:16
TG039_39506_68096_01869_039_20260124135539_91.13.BIN,24.65,24/01/2026 13:55
TG039_39511_66450_01039_039_20260124131835_91.13.BIN,50.70,24/01/2026 21:33
TG039_39511_66450_01040_039_20260124213200_91.13.BIN,40.52,24/01/2026 21:33
